CustomerID,City,Zip Code,Tenure Months,Contract,Internet Service,Payment Method,Monthly Charges,Total Charges,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,prob_stay,prob_churn,churn_risk_pct,risk_band
0002-ORFBO,Frazier Park,93225,9,One year,DSL,Mailed check,65.6,593.3,No,Yes,No,Yes,Yes,No,0.7550725011478553,0.2449274988521447,24.5,Low
0003-MKNFE,Glendale,91206,9,Month-to-month,DSL,Mailed check,59.9,542.4,No,No,No,No,No,Yes,0.5635055869129257,0.43649441308707426,43.6,Medium
0013-MHZWF,Midpines,95345,9,Month-to-month,DSL,Credit card (automatic),69.4,571.45,No,No,No,Yes,Yes,Yes,0.8882318247485435,0.11176817525145659,11.2,Low
0013-SMEOE,Lompoc,93437,71,Two year,Fiber optic,Bank transfer (automatic),109.7,7904.25,Yes,Yes,Yes,Yes,Yes,Yes,0.9574296089247047,0.04257039107529527,4.3,Very low
0014-BMAQU,Napa,94558,63,Two year,Fiber optic,Credit card (automatic),84.65,5377.8,Yes,No,No,Yes,No,No,0.9522610572062495,0.047738942793750475,4.8,Very low
0015-UOCOJ,Simi Valley,93063,7,Month-to-month,DSL,Electronic check,48.2,340.35,Yes,No,No,No,No,No,0.6292944867176644,0.37070551328233564,37.1,Medium
0016-QLJIS,Sheridan,95681,65,Two year,DSL,Mailed check,90.45,5957.9,Yes,Yes,Yes,Yes,Yes,Yes,0.9931447034613881,0.006855296538611968,0.7,Very low
0017-DINOC,Rancho Santa Fe,92091,54,Two year,DSL,Credit card (automatic),45.2,2460.55,Yes,No,No,Yes,Yes,No,0.9771879774316317,0.022812022568368354,2.3,Very low
0017-IUDMW,Sunnyvale,94086,72,Two year,Fiber optic,Credit card (automatic),116.8,8456.75,Yes,Yes,Yes,Yes,Yes,Yes,0.9890097135460327,0.01099028645396723,1.1,Very low
0018-NYROU,Antelope,95843,5,Month-to-month,Fiber optic,Electronic check,68.95,351.5,No,No,No,No,No,No,0.26280902889527236,0.7371909711047276,73.7,Very high
0019-EFAEP,La Mesa,91942,72,Two year,Fiber optic,Bank transfer (automatic),101.3,7261.25,Yes,Yes,Yes,No,Yes,No,0.954371556888891,0.045628443111109064,4.6,Very low
0019-GFNTW,Los Olivos,93441,56,Two year,DSL,Bank transfer (automatic),45.05,2560.1,Yes,Yes,Yes,Yes,No,No,0.9852634529214443,0.014736547078555639,1.5,Very low
0020-INWCK,Woodlake,93286,71,Two year,Fiber optic,Credit card (automatic),95.75,6849.4,No,Yes,Yes,No,No,Yes,0.9829156357478136,0.017084364252186412,1.7,Very low
0020-JDNXP,Point Reyes Station,94956,34,One year,DSL,Mailed check,61.25,1993.2,Yes,No,Yes,Yes,Yes,Yes,0.9698153523126565,0.03018464768734356,3.0,Very low
0021-IKXGC,San Marcos,92078,1,Month-to-month,Fiber optic,Electronic check,72.1,72.1,No,No,No,No,No,No,0.22325885624435815,0.7767411437556418,77.7,Very high
0023-UYUPN,Ahwahnee,93601,50,One year,No,Electronic check,25.2,1306.3,No,No,No,No,No,No,0.9442594117951681,0.05574058820483183,5.6,Very low
0027-KWYKW,Alpaugh,93201,23,Month-to-month,Fiber optic,Electronic check,83.75,1849.95,No,No,No,No,Yes,No,0.6367484292447666,0.3632515707552334,36.3,Medium
0030-FNXPP,Keeler,93530,3,Month-to-month,No,Mailed check,19.85,57.2,No,No,No,No,No,No,0.8074994828328951,0.19250051716710492,19.3,Low
0036-IHMOT,Parlier,93648,55,One year,Fiber optic,Bank transfer (automatic),103.7,5656.75,No,Yes,Yes,Yes,Yes,Yes,0.9637670035862737,0.03623299641372631,3.6,Very low
0040-HALCW,Modesto,95358,54,Two year,No,Credit card (automatic),20.4,1090.6,No,No,No,No,No,No,0.997334034728885,0.0026659652711149987,0.3,Very low
0042-JVWOJ,Glen Ellen,95442,26,One year,No,Bank transfer (automatic),19.6,471.85,No,No,No,No,No,No,0.935269599947222,0.06473040005277803,6.5,Very low
