CustomerID,City,Zip Code,Tenure Months,Contract,Internet Service,Payment Method,Monthly Charges,Total Charges,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,prob_stay,prob_churn
3489-HHPFY,Amboy,92304,2,Month-to-month,Fiber optic,Electronic check,84.05,134.05,No,No,No,No,Yes,No,0.14621357100263377,0.8537864289973662
4927-WWOOZ,Pacific Grove,93950,2,Month-to-month,Fiber optic,Electronic check,91.45,171.45,No,No,Yes,No,Yes,No,0.14682644036146975,0.8531735596385303
5150-ITWWB,Hamilton City,95951,3,Month-to-month,Fiber optic,Electronic check,94.85,335.75,No,No,No,No,Yes,Yes,0.14799642330023077,0.8520035766997692
6630-UJZMY,Palo Alto,94306,4,Month-to-month,Fiber optic,Electronic check,83.25,308.05,No,No,No,No,Yes,No,0.15195992205942133,0.8480400779405787
7398-SKNQZ,Downey,90241,3,Month-to-month,Fiber optic,Electronic check,94.9,273.2,No,No,No,No,Yes,Yes,0.16223598532823624,0.8377640146717638
8161-QYMTT,Santa Maria,93454,7,Month-to-month,Fiber optic,Electronic check,94.1,701.3,No,No,No,No,Yes,Yes,0.16884056472284092,0.8311594352771591
7225-CBZPL,Earlimart,93219,17,Month-to-month,Fiber optic,Electronic check,94.8,1563.9,No,No,No,No,Yes,Yes,0.17328813000896293,0.8267118699910371
0187-QSXOE,Fresno,93725,7,Month-to-month,Fiber optic,Electronic check,89.0,605.45,No,No,No,No,Yes,Yes,0.17407406614472765,0.8259259338552724
7668-XCFYV,Glendora,91741,17,Month-to-month,Fiber optic,Electronic check,92.55,1614.7,No,No,No,No,Yes,Yes,0.17535953127884074,0.8246404687211593
4912-PIGUY,Perris,92571,1,Month-to-month,Fiber optic,Electronic check,84.6,84.6,No,No,No,No,Yes,No,0.18016939273279342,0.8198306072672066
3096-GKWEB,Bakersfield,93306,18,Month-to-month,Fiber optic,Electronic check,94.75,1691.9,No,No,No,No,Yes,Yes,0.18140112931976327,0.8185988706802367
8622-ZLFKO,Fresno,93710,6,Month-to-month,Fiber optic,Electronic check,90.75,512.25,No,Yes,No,No,No,Yes,0.18264200868665526,0.8173579913133447
3452-GWUIN,Raisin City,93652,19,Month-to-month,Fiber optic,Electronic check,94.95,1760.25,No,No,No,No,Yes,Yes,0.18530208458884723,0.8146979154111528
2545-EBUPK,Los Angeles,90045,2,Month-to-month,Fiber optic,Electronic check,84.05,186.05,No,No,No,No,No,Yes,0.18554098618595682,0.8144590138140432
7577-SWIFR,Glendale,91206,1,Month-to-month,Fiber optic,Electronic check,89.25,89.25,No,No,No,No,Yes,Yes,0.18941249547431938,0.8105875045256806
0365-BZUWY,San Juan Capistrano,92675,17,Month-to-month,Fiber optic,Electronic check,102.55,1742.5,No,Yes,Yes,No,Yes,Yes,0.19560149360484513,0.8043985063951549
9919-KNPOO,La Mirada,90638,21,Month-to-month,Fiber optic,Electronic check,94.3,1948.35,No,No,No,No,Yes,Yes,0.19915670451283995,0.80084329548716
3318-NMQXL,El Monte,91731,3,Month-to-month,Fiber optic,Electronic check,92.0,266.8,No,No,No,No,Yes,Yes,0.1999586230755901,0.8000413769244099
8739-XNIKG,Bakersfield,93301,5,Month-to-month,Fiber optic,Electronic check,84.0,424.75,No,No,No,No,Yes,No,0.20090592045248123,0.7990940795475188
3320-VEOYC,Beverly Hills,90210,14,Month-to-month,Fiber optic,Electronic check,95.6,1273.3,No,No,No,No,Yes,Yes,0.2009500256697424,0.7990499743302576
9957-YODKZ,Canby,96015,6,Month-to-month,Fiber optic,Electronic check,80.8,457.1,No,No,Yes,No,No,No,0.204772527625262,0.795227472374738
6350-XFYGW,Ferndale,95536,4,Month-to-month,Fiber optic,Electronic check,94.75,422.4,No,No,Yes,No,Yes,Yes,0.20495656904917636,0.7950434309508236
9334-GWGOW,Mc Kittrick,93251,7,Month-to-month,Fiber optic,Electronic check,74.85,485.25,No,No,No,No,No,No,0.2071187483513932,0.7928812516486068
2077-MPJQO,Menlo Park,94025,7,Month-to-month,Fiber optic,Electronic check,75.4,533.05,No,No,No,No,No,No,0.2071187483513932,0.7928812516486068
2371-JQHZZ,Bakersfield,93307,24,Month-to-month,Fiber optic,Electronic check,93.0,2248.05,No,No,No,No,Yes,Yes,0.2133170179055457,0.7866829820944543
4847-TAJYI,Chula Vista,91911,6,Month-to-month,Fiber optic,Electronic check,89.35,567.8,No,No,No,No,Yes,Yes,0.21530822151727524,0.7846917784827248
4853-OITSN,Oakland,94606,5,Month-to-month,Fiber optic,Electronic check,89.15,413.25,Yes,No,No,No,No,Yes,0.2166696162939996,0.7833303837060004
4929-XIHVW,Los Angeles,90034,2,Month-to-month,Fiber optic,Credit card (automatic),95.5,181.65,No,No,Yes,No,Yes,Yes,0.21731474541582163,0.7826852545841784
5935-FCCNB,Downey,90242,17,Month-to-month,Fiber optic,Electronic check,94.2,1608.15,No,No,No,No,Yes,Yes,0.22010456276172463,0.7798954372382754
2215-ZAFGX,La Mesa,91942,9,Month-to-month,Fiber optic,Electronic check,85.5,791.7,No,No,No,No,Yes,No,0.2208921360952939,0.7791078639047061
4115-NZRKS,San Diego,92102,7,Month-to-month,Fiber optic,Electronic check,89.15,574.35,No,No,No,No,Yes,Yes,0.22104605807826028,0.7789539419217397
4298-OYIFC,Loyalton,96118,15,Month-to-month,Fiber optic,Electronic check,103.45,1539.8,No,No,Yes,Yes,Yes,Yes,0.22217628432166203,0.777823715678338
6969-MVBAI,Davis Creek,96108,9,Month-to-month,Fiber optic,Electronic check,90.1,816.8,No,No,Yes,No,Yes,No,0.22291332725824065,0.7770866727417594
0021-IKXGC,San Marcos,92078,1,Month-to-month,Fiber optic,Electronic check,72.1,72.1,No,No,No,No,No,No,0.22325885624435815,0.7767411437556418
3462-BJQQA,Belvedere Tiburon,94920,6,Month-to-month,Fiber optic,Electronic check,89.75,552.65,No,Yes,No,No,Yes,No,0.2244730527482236,0.7755269472517764
1452-VOQCH,Hinkley,92347,1,Month-to-month,Fiber optic,Electronic check,75.1,75.1,No,No,No,No,No,No,0.2245771672145218,0.7754228327854782
4060-LDNLU,Diamond Bar,91765,7,Month-to-month,Fiber optic,Electronic check,96.2,639.7,No,No,No,No,Yes,Yes,0.22470320082051165,0.7752967991794883
5995-SNNEW,Whittier,90605,23,Month-to-month,Fiber optic,Electronic check,104.45,2184.85,No,Yes,Yes,No,Yes,Yes,0.22545495102390467,0.7745450489760953
9094-AZPHK,San Bernardino,92405,15,Month-to-month,Fiber optic,Electronic check,100.15,1415.0,No,Yes,No,No,Yes,Yes,0.23091648355044747,0.7690835164495525
4813-HQMGZ,Ducor,93218,8,Month-to-month,Fiber optic,Electronic check,90.25,743.75,No,No,No,Yes,No,Yes,0.23094121333101048,0.7690587866689895
0168-XZKBB,Boron,93516,19,Month-to-month,Fiber optic,Electronic check,86.85,1564.4,No,No,No,No,Yes,No,0.23276927285054327,0.7672307271494567
8775-ERLNB,Indio,92203,1,Month-to-month,Fiber optic,Electronic check,74.3,74.3,No,No,No,No,No,No,0.2334705132879581,0.7665294867120419
7439-DKZTW,Paicines,95043,1,Month-to-month,Fiber optic,Electronic check,80.55,80.55,No,No,No,No,Yes,No,0.23366704481428857,0.7663329551857114
7994-UYIVZ,Miramonte,93641,8,Month-to-month,Fiber optic,Bank transfer (automatic),85.65,659.45,No,No,No,No,No,Yes,0.23474230942614327,0.7652576905738567
6734-GMPVK,Santa Maria,93454,5,Month-to-month,Fiber optic,Electronic check,105.3,550.6,No,Yes,Yes,No,Yes,Yes,0.23518940174914083,0.7648105982508592
6198-RTPMF,Oregon House,95962,17,Month-to-month,Fiber optic,Electronic check,92.6,1579.7,No,No,No,No,Yes,Yes,0.23672299284110754,0.7632770071588925
6583-KQJLK,Twin Bridges,95735,15,Month-to-month,Fiber optic,Electronic check,94.65,1285.05,No,Yes,No,No,Yes,Yes,0.23752426107183566,0.7624757389281643
8087-LGYHQ,Crestline,92325,9,Month-to-month,Fiber optic,Electronic check,94.05,811.65,No,No,Yes,No,Yes,Yes,0.2376832553515379,0.7623167446484621
7363-QTBIW,Scotts Valley,95066,9,Month-to-month,Fiber optic,Electronic check,79.75,769.1,No,No,No,No,No,Yes,0.23812737974604548,0.7618726202539545
1173-XZPYF,Torrance,90501,11,Month-to-month,Fiber optic,Electronic check,89.2,990.3,No,No,Yes,No,Yes,No,0.23875593684962038,0.7612440631503796
4090-KPJIP,Anaheim,92806,3,Month-to-month,Fiber optic,Electronic check,74.95,212.4,No,No,No,No,No,No,0.2391184663602468,0.7608815336397532
9799-CAYJJ,West Hills,91307,2,Month-to-month,Fiber optic,Electronic check,69.3,153.8,No,No,No,No,No,No,0.23970170344084452,0.7602982965591555
4234-XTNEA,Irvine,92606,2,Month-to-month,Fiber optic,Electronic check,79.95,174.45,No,No,No,No,Yes,No,0.23974465343662354,0.7602553465633765
4123-DVHPH,Orinda,94563,9,Month-to-month,Fiber optic,Electronic check,88.05,801.3,Yes,No,No,No,No,Yes,0.24037539080043857,0.7596246091995614
2880-FPNAE,Van Nuys,91405,2,Month-to-month,Fiber optic,Electronic check,74.2,140.1,No,No,Yes,No,No,No,0.24059601085509064,0.7594039891449094
1197-BVMVG,Friant,93626,4,Month-to-month,Fiber optic,Electronic check,74.45,294.45,No,No,No,No,No,No,0.2412467204068366,0.7587532795931634
5348-CAGXB,Irvine,92614,12,Month-to-month,Fiber optic,Electronic check,89.55,1021.75,No,No,Yes,No,Yes,No,0.24227190092748518,0.7577280990725148
7321-VGNKU,Paskenta,96074,2,Month-to-month,Fiber optic,Electronic check,70.35,120.25,No,No,No,No,No,No,0.24372987562633908,0.7562701243736609
4749-OJKQU,San Jose,95132,4,Month-to-month,Fiber optic,Electronic check,75.65,302.35,No,No,No,No,No,No,0.24529247985603753,0.7547075201439625
7858-GTZSP,San Lucas,93954,12,Month-to-month,Fiber optic,Electronic check,86.55,1066.9,No,No,No,No,No,Yes,0.2458490212175748,0.7541509787824252
8107-KNCIM,San Francisco,94111,14,Month-to-month,Fiber optic,Electronic check,75.1,1013.35,No,No,No,No,No,No,0.24844850775608052,0.7515514922439195
6357-JJPQT,San Gabriel,91776,3,Month-to-month,Fiber optic,Electronic check,80.5,232.35,No,No,No,No,Yes,No,0.24860821033052982,0.7513917896694702
1393-IMKZG,Fullerton,92831,1,Month-to-month,Fiber optic,Electronic check,95.85,95.85,No,No,No,Yes,Yes,Yes,0.2489987043287596,0.7510012956712404
7044-YAACC,Napa,94559,4,Month-to-month,Fiber optic,Electronic check,70.2,280.35,No,No,No,No,No,No,0.24947246155983804,0.750527538440162
3422-GALYP,Phillipsville,95559,2,Month-to-month,Fiber optic,Electronic check,79.45,145.15,No,Yes,No,No,No,No,0.25005214299017964,0.7499478570098204
0480-BIXDE,Beale Afb,95903,19,Month-to-month,Fiber optic,Electronic check,96.8,1743.05,No,No,Yes,No,Yes,Yes,0.2501733286070409,0.7498266713929591
2789-HQBOU,Bakersfield,93306,3,Month-to-month,Fiber optic,Electronic check,80.35,253.8,No,No,No,No,No,Yes,0.25046187829486666,0.7495381217051333
5382-SOYZL,Concord,94519,22,Month-to-month,Fiber optic,Electronic check,95.1,2162.6,No,No,No,No,Yes,Yes,0.25175518792050433,0.7482448120794957
2876-GZYZC,Cerritos,90703,13,Month-to-month,Fiber optic,Electronic check,85.95,1215.65,No,No,No,No,No,Yes,0.2521392293641087,0.7478607706358913
1960-UYCNN,Julian,92036,10,Month-to-month,Fiber optic,Electronic check,95.25,1021.55,No,Yes,Yes,No,No,Yes,0.254256538667178,0.745743461332822
4132-KALRO,Davis Creek,96108,4,Month-to-month,Fiber optic,Mailed check,100.85,399.25,No,No,No,Yes,Yes,Yes,0.2549526301993347,0.7450473698006653
3338-CVVEH,Chula Vista,91913,12,Month-to-month,Fiber optic,Electronic check,94.55,1173.55,No,No,No,No,Yes,Yes,0.2553521973551277,0.7446478026448723
3427-GGZZI,Midpines,95345,19,Month-to-month,Fiber optic,Electronic check,89.1,1620.8,No,Yes,No,No,No,Yes,0.2570735840754208,0.7429264159245792
1628-BIZYP,Brentwood,94513,1,Month-to-month,Fiber optic,Electronic check,85.0,85.0,No,Yes,No,No,No,Yes,0.2580335694038395,0.7419664305961605
2799-ARNLO,Bonsall,92003,5,Month-to-month,Fiber optic,Electronic check,69.35,341.6,No,No,No,No,No,No,0.25857334326310577,0.7414266567368942
6229-LSCKB,Encino,91436,6,Month-to-month,Fiber optic,Electronic check,79.7,497.6,No,No,No,No,Yes,No,0.26086083428790763,0.7391391657120924
2985-FMWYF,Myers Flat,95554,23,Month-to-month,Fiber optic,Electronic check,93.5,2341.55,No,No,No,No,Yes,Yes,0.2609103952441558,0.7390896047558442
9290-SHCMB,Brownsville,95919,13,Month-to-month,Fiber optic,Electronic check,96.85,1235.55,No,No,Yes,No,Yes,Yes,0.2614489730167986,0.7385510269832014
0018-NYROU,Antelope,95843,5,Month-to-month,Fiber optic,Electronic check,68.95,351.5,No,No,No,No,No,No,0.26280902889527236,0.7371909711047276
0840-DFEZH,Los Angeles,90036,7,Month-to-month,Fiber optic,Electronic check,75.35,564.65,No,No,No,No,No,No,0.2644511808261585,0.7355488191738415
9360-OMDZZ,Herald,95638,24,Month-to-month,Fiber optic,Electronic check,94.1,2322.85,No,No,No,No,Yes,Yes,0.2646391920657266,0.7353608079342734
3292-PBZEJ,Greenview,96037,11,Month-to-month,Fiber optic,Electronic check,111.4,1183.05,No,Yes,Yes,Yes,Yes,Yes,0.2651643026024745,0.7348356973975255
6507-ZJSUR,Albion,95410,23,Month-to-month,Fiber optic,Electronic check,90.45,2117.25,No,No,No,No,Yes,Yes,0.26526297584934955,0.7347370241506505
5956-YHHRX,Pilot Hill,95664,21,Month-to-month,Fiber optic,Electronic check,104.35,2271.85,No,Yes,Yes,No,Yes,Yes,0.26534257215635526,0.7346574278436447
4301-VVZKA,San Francisco,94123,16,Month-to-month,Fiber optic,Electronic check,75.4,1189.4,No,No,No,No,No,No,0.26548590669846484,0.7345140933015352
6986-IXNDM,Three Rivers,93271,14,Month-to-month,Fiber optic,Electronic check,92.9,1337.45,No,No,No,No,Yes,Yes,0.2657062827126423,0.7342937172873577
5429-LWCMV,Gardena,90248,12,Month-to-month,Fiber optic,Electronic check,89.15,1057.55,No,Yes,No,No,No,Yes,0.2662642584270667,0.7337357415729333
3030-YDNRM,Pasadena,91107,8,Month-to-month,Fiber optic,Electronic check,74.85,572.45,No,No,No,No,No,No,0.26821221710384313,0.7317877828961569
4445-ZJNMU,Manhattan Beach,90266,9,Month-to-month,Fiber optic,Credit card (automatic),99.3,918.75,No,Yes,No,No,Yes,Yes,0.26995983279719604,0.730040167202804
3317-VLGQT,Wallace,95254,14,Month-to-month,Fiber optic,Electronic check,78.1,1122.4,No,No,No,No,No,Yes,0.26996981255579144,0.7300301874442086
6860-YRJZP,Sacramento,95820,9,Month-to-month,Fiber optic,Electronic check,74.05,678.45,No,No,No,No,No,No,0.2705073574221487,0.7294926425778513
9402-ORRAH,La Canada Flintridge,91011,15,Month-to-month,Fiber optic,Electronic check,91.5,1400.3,No,No,No,No,Yes,Yes,0.27082040033444477,0.7291795996655552
3199-XGZCY,Granada Hills,91344,8,Month-to-month,Fiber optic,Electronic check,75.25,576.7,No,No,No,No,No,No,0.2710462787500201,0.7289537212499799
8541-QVFKM,Long Beach,90807,8,Month-to-month,Fiber optic,Electronic check,73.5,632.2,No,No,No,No,No,No,0.2710462787500201,0.7289537212499799
7392-YYPYJ,Santa Ana,92706,22,Month-to-month,Fiber optic,Electronic check,100.65,2415.95,No,Yes,No,No,Yes,Yes,0.2724836675151934,0.7275163324848066
7402-EYFXX,Salyer,95563,26,Month-to-month,Fiber optic,Electronic check,93.6,2404.1,No,No,No,No,Yes,Yes,0.2735485995079804,0.7264514004920196
5937-EORGB,Five Points,93624,15,Month-to-month,Fiber optic,Electronic check,96.5,1392.25,Yes,No,Yes,No,Yes,No,0.27373385834831043,0.7262661416516896
2123-AGEEN,Millbrae,94030,7,Month-to-month,Fiber optic,Electronic check,84.35,609.65,No,No,Yes,No,Yes,No,0.2740489356598128,0.7259510643401872
5760-IFJOZ,Richgrove,93261,3,Month-to-month,Fiber optic,Mailed check,107.95,313.6,No,Yes,Yes,No,Yes,Yes,0.2740892653358611,0.7259107346641389
7354-OIJLX,Inglewood,90305,9,Month-to-month,Fiber optic,Electronic check,75.85,724.65,No,No,No,No,No,No,0.27486606040758743,0.7251339395924126
5928-QLDHB,San Fernando,91340,9,Month-to-month,Fiber optic,Electronic check,76.25,684.85,No,No,No,No,No,No,0.27486606040758743,0.7251339395924126
4559-UWIHT,Atascadero,93422,14,Month-to-month,Fiber optic,Electronic check,82.65,1185.0,No,Yes,Yes,No,No,No,0.27719485067750727,0.7228051493224927
6215-NQCPY,Yreka,96097,15,Month-to-month,Fiber optic,Electronic check,99.7,1566.75,Yes,No,No,No,Yes,Yes,0.277652583998948,0.722347416001052
1219-NNDDO,Los Angeles,90015,9,Month-to-month,Fiber optic,Electronic check,76.85,663.55,No,No,No,No,No,No,0.27774374511393307,0.7222562548860669
3295-YVUSR,Glendale,91202,2,Month-to-month,Fiber optic,Mailed check,72.6,154.3,No,No,No,No,No,No,0.2778835983529572,0.7221164016470428
8242-SOQUO,Oakland,94619,5,Month-to-month,Fiber optic,Electronic check,84.7,392.5,No,Yes,No,No,Yes,No,0.278175049440032,0.721824950559968
